timestamp,x,y,z
1726361598.602735,0.61,-0.43,0.18
1726361598.8536122,0.49,-0.61,0.06
1726361599.1053288,0.67,-0.55,0.12
1726361599.358005,0.61,-0.55,0.06
1726361599.609664,0.79,-0.61,-0.06
1726361599.860281,0.67,-0.61,0.06
1726361600.1110425,0.73,-0.61,-0.12
1726361600.3605437,0.49,-0.55,0.12
1726361600.6133075,0.73,-0.61,0.06
1726361600.8671215,0.73,-0.67,0.0
1726361601.1237488,0.79,-0.55,0.0
1726361601.380329,0.49,-0.43,0.12
1726361601.6336286,0.85,-0.67,-0.06
1726361601.884495,0.79,-0.61,-0.06
1726361602.134656,0.61,-0.49,0.06
1726361602.3897164,0.67,-0.61,-0.06
1726361602.6425312,0.61,-0.73,0.0
1726361602.898497,0.61,-1.16,-0.49
1726361603.148366,0.92,-0.92,-0.49
1726361603.4024894,0.73,-0.49,-0.12
1726361603.655113,0.67,-0.43,-0.06
1726361603.9080098,0.55,-0.49,0.12
1726361604.1602283,0.55,-0.43,0.12
1726361604.4129074,0.55,-0.61,0.06
1726361604.662937,0.61,-0.55,0.0
1726361604.9181206,0.67,-0.61,0.0
1726361605.1702354,0.73,-0.67,0.06
1726361605.4193804,0.67,-0.55,0.12
1726361605.6729581,0.61,-0.55,0.12
1726361605.925311,0.67,-0.49,0.06
1726361606.1783912,0.67,-0.43,0.12
1726361606.429111,0.61,-0.61,0.18
1726361606.6818867,0.67,-0.73,0.0
1726361606.9643605,0.61,-0.43,0.24
1726361607.2155275,0.67,-0.37,0.12
1726361607.4729404,0.61,-0.37,0.06
1726361607.7258554,0.55,-0.43,0.18
1726361607.9789581,0.73,-0.67,0.0
1726361608.2302737,0.79,-0.55,0.06
1726361608.494828,0.61,-0.55,0.06
1726361608.7451973,0.73,-0.43,0.0
1726361608.9966495,0.85,-0.37,0.06
1726361609.465597,0.92,-0.49,0.0
1726361609.717045,0.92,-0.55,-0.06
1726361609.9711723,0.79,-0.37,0.06
1726361610.2191672,0.79,-0.55,-0.06
1726361610.4700048,0.67,-0.55,0.06
1726361610.721876,0.67,-0.49,0.0
1726361610.9747436,0.61,-0.55,0.0
1726361611.226592,0.85,-0.49,0.0
1726361611.47887,0.73,-0.61,-0.06
1726361611.7293313,0.55,-0.49,0.12
1726361611.9807482,0.61,-0.61,0.0
1726361612.2348769,0.67,-0.61,0.0
1726361612.487586,0.73,-0.55,-0.06
1726361612.7419462,0.43,-0.55,15.56
1726361612.9925585,0.79,-0.49,-0.06
1726361613.2453914,0.67,-0.61,0.0
1726361613.496923,0.79,-0.55,-0.12
1726361613.7482326,0.67,-0.49,-0.06
1726361613.9985962,0.92,-0.55,-0.12
1726361614.2499294,0.55,-0.37,0.18
1726361614.5035725,0.79,-0.24,-0.37
1726361614.754418,-0.37,-0.12,0.24
1726361615.0066512,0.55,-0.49,-0.12
1726361615.2571323,0.18,-0.43,0.31
1726361615.5101423,0.73,-0.85,-0.18
1726361615.7613845,0.73,-0.79,-0.12
1726361616.0120347,0.55,-0.73,0.06
1726361616.2612133,0.61,-0.73,0.0
1726361616.515341,0.61,-0.61,0.06
1726361616.7689784,0.55,-0.55,0.06
1726361617.020749,0.67,-0.55,0.12
1726361617.273396,0.67,-0.55,0.06
1726361617.5259335,0.73,-0.67,0.0
1726361617.7769067,0.67,-0.43,0.12
1726361618.02815,0.55,-0.43,0.18
1726361618.2798655,0.79,-0.79,0.0
1726361618.5327086,0.73,-0.43,0.31
1726361618.7845285,0.24,-0.55,0.37
1726361619.0383663,0.79,-0.18,0.31
1726361619.290073,1.1,-0.61,-0.18
1726361619.542713,0.98,0.18,0.0
1726361619.794363,1.65,0.0,0.24
1726361620.046285,0.67,-0.98,-0.18
1726361620.294203,-1.46,-1.4,0.06
1726361620.548286,0.67,-0.12,0.61
1726361620.8017926,0.67,-0.37,0.0
1726361621.0570989,1.04,-0.18,-0.31
1726361621.3085487,0.85,-0.31,0.12
1726361621.5623758,-1.53,-0.98,-0.12
1726361621.8112075,2.32,-1.65,-0.79
1726361622.1344962,0.24,-0.24,0.79
1726361622.3839984,0.12,-0.24,0.43
1726361622.637198,1.1,-0.98,-0.67
1726361622.910915,0.49,-0.06,0.12
1726361623.1660182,0.67,-0.31,0.37
1726361623.4165401,0.92,-0.79,-0.12
1726361623.6699398,0.49,-0.61,0.12
1726361623.9229164,0.55,-0.49,0.06
1726361624.17368,0.92,-0.61,-0.06
1726361624.4284718,0.79,-0.55,0.0
1726361624.681122,0.55,-0.49,0.06
1726361624.9330788,0.73,-0.49,0.06
1726361625.183657,0.67,-0.49,0.06
1726361625.4373045,0.67,-0.37,0.12
1726361625.688284,0.49,-0.31,0.18
1726361625.9403524,0.61,-0.61,0.06
1726361626.1929266,0.49,-0.73,0.06
1726361626.4511783,0.49,-1.1,-0.12
1726361626.705344,0.37,-0.61,0.06
1726361626.9584384,0.79,-0.31,0.12
1726361627.2092018,0.31,0.18,0.43
1726361627.461812,1.16,0.06,0.12
1726361627.712815,0.61,-0.43,-0.24
1726361627.967451,0.73,-0.79,-0.24
1726361628.22975,0.55,-0.92,0.0
1726361628.4822216,0.55,-0.43,0.18
1726361628.7320452,0.55,-1.04,-0.49
